,SOW - Client,NDA - Client,MSA - Vendor,Miscellaneous - Vendor,Miscellaneous - Client,MSA - Client,PSA - Client,NDA - Vendor,BAA - Client,SOW - Vendor,PSA - Vendor,DPA - Client
Q-Tempelate,3.111111111111111,5.2,Not enough data,Not enough data,Not enough data,5.2727272727272725,1.1111111111111112,Not enough data,Not enough data,Not enough data,Not enough data,Not enough data
Non-Q Tempelate,2.0952380952380953,1.5833333333333333,3.3,1.9166666666666667,1.8888888888888888,2.888888888888889,Not enough data,Not enough data,Not enough data,Not enough data,1.8333333333333333,Not enough data
