feature,mean_importance
feature_16,-0.0058838339634043725
feature_1,-0.002774250561889402
feature_11,-0.0026247563482856284
feature_19,-0.0011436448551166655
feature_6,-0.00046918240902393826
feature_22,0.0
feature_24_ratio_feature_13,0.0
feature_17_ratio_feature_13,0.0
feature_24,0.0
feature_13_ratio_feature_2,0.0
feature_13_diff_feature_24,0.0
feature_4,0.0
feature_13_ratio_feature_17,0.0
feature_23_sum_feature_13,2.2204460492503132e-17
feature_13,2.2204460492503132e-17
feature_14,2.2204460492503132e-17
feature_9_ratio_feature_13,2.2204460492503132e-17
feature_13_multiply_feature_9,2.2204460492503132e-17
feature_20,2.2204460492503132e-17
feature_21,2.2204460492503132e-17
feature_23,4.4408920985006264e-17
feature_24_multiply_feature_13,4.4408920985006264e-17
feature_17_multiply_feature_13,4.4408920985006264e-17
feature_2,0.00022718631250875365
feature_18,0.0004905896492677586
feature_7,0.0015816114071326882
feature_17,0.001611926287076715
feature_15,0.002223859026558306
feature_5,0.003065682771133127
feature_12,0.003082652374363337
feature_8,0.0035989470193983353
feature_9,0.00482233639374936
random_feature,0.008247741068661552
feature_10,0.00829836995060409
feature_3,0.08151072760856645
