feature,mean_importance
feature_11,-0.004968536769512944
random_feature,-0.002792450001124225
feature_19,-0.0004854603428705584
feature_24,0.0
feature_23,0.0
feature_22,0.0
feature_21,0.0
feature_20,0.0
feature_24_ratio_feature_13,0.0
feature_17,0.0
feature_16,0.0
feature_15,0.0
feature_13,0.0
feature_17_multiply_feature_13,0.0
feature_10,0.0
feature_17_ratio_feature_13,0.0
feature_8,0.0
feature_13_ratio_feature_17,0.0
feature_13_ratio_feature_2,0.0
feature_5,0.0
feature_23_sum_feature_13,0.0
feature_13_diff_feature_24,0.0
feature_24_multiply_feature_13,0.0
feature_13_multiply_feature_9,0.0
feature_9_ratio_feature_13,0.0
feature_14,0.0003047846871001347
feature_18,0.0003379106256777398
feature_7,0.0008544662567865791
feature_1,0.0023104980867829417
feature_12,0.0030244700186635052
feature_2,0.0069949710010144715
feature_6,0.00716176318604127
feature_9,0.01250559265672524
feature_4,0.015901290957443904
feature_3,0.09428145569218646
