feature,mean_importance
feature_17,-0.0013887695379144027
feature_10,-0.0012214708907949622
feature_18,-0.001194224948861966
feature_16,-0.0011866890049594182
feature_6,-0.0010528899225851428
feature_5,-0.0006660332808800407
feature_2,-0.0003144523599203586
feature_17_multiply_feature_13,0.0
feature_24_multiply_feature_13,0.0
feature_24,0.0
feature_13_ratio_feature_17,2.2204460492503132e-17
feature_23,2.2204460492503132e-17
feature_24_ratio_feature_13,2.2204460492503132e-17
feature_13_multiply_feature_9,2.2204460492503132e-17
feature_20,2.2204460492503132e-17
feature_21,2.2204460492503132e-17
feature_13_ratio_feature_2,2.2204460492503132e-17
feature_23_sum_feature_13,4.4408920985006264e-17
feature_13,4.4408920985006264e-17
feature_9_ratio_feature_13,4.4408920985006264e-17
feature_13_diff_feature_24,4.4408920985006264e-17
feature_22,4.4408920985006264e-17
feature_17_ratio_feature_13,6.661338147750939e-17
feature_15,0.0002468269898851405
random_feature,0.00037399072985289106
feature_4,0.0007005184129622144
feature_7,0.0007461000864650069
feature_11,0.0011809707262899316
feature_14,0.0013870518427091306
feature_9,0.002185772459845592
feature_19,0.002217895445402518
feature_1,0.003594012887140385
feature_12,0.004020703240009671
feature_8,0.009451808955274376
feature_3,0.0670404296555515
