feature,mean_importance
feature_9,-0.026264009129366904
feature_2,-0.002903597384150425
feature_7,-0.0008579516760200079
feature_6,-0.0006209552894997028
feature_16,-0.0003077248078333206
feature_18,0.0
feature_22,0.0
feature_23,0.0
feature_24,0.0
feature_13_multiply_feature_9,0.0
feature_9_ratio_feature_13,0.0
feature_17_ratio_feature_13,0.0
feature_21,0.0
feature_13_ratio_feature_2,0.0
feature_23_sum_feature_13,0.0
feature_13_diff_feature_24,0.0
feature_24_multiply_feature_13,0.0
feature_17_multiply_feature_13,0.0
feature_20,0.0
random_feature,0.0
feature_24_ratio_feature_13,0.0
feature_14,0.0
feature_13,0.0
feature_11,0.0
feature_10,0.0
feature_5,0.0
feature_4,0.0
feature_13_ratio_feature_17,2.2204460492503132e-17
feature_12,0.00025935730746671213
feature_17,0.0019217934629741419
feature_1,0.0034159385228325957
feature_19,0.008923093710820918
feature_15,0.015412708105945794
feature_8,0.0167333693504109
feature_3,0.11682293951586371
