Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,counter
0.0670404296555515,0.0815107276085664,0.0579593528770613,0.0942814556921864,0.1168229395158637,0
0.0094518089552743,0.0035989470193983,0.0143344385384071,0.0,0.0167333693504109,2
0.0007005184129622,0.0,0.0009625647813968,0.0159012909574439,0.0,2
0.0040207032400096,0.0030826523743633,0.0060458705039419,0.0030244700186635,0.0002593573074667,1
0.0022178954454025,-0.0011436448551166,-0.0019105719488368,-0.0004854603428705,0.0089230937108209,3
-0.0012214708907949,0.008298369950604,-0.0006317442247585,0.0,0.0,4
0.0002468269898851,0.0022238590265583,-0.0125782551031135,0.0,0.0154127081059457,4
-0.0010528899225851,-0.0004691824090239,-0.0003604550796703,0.0071617631860412,-0.0006209552894997,4
-0.0003144523599203,0.0002271863125087,-0.0011936077654477,0.0069949710010144,-0.0029035973841504,4
-0.00066603328088,0.0030656827711331,0.0003288586599251,0.0,0.0,4
0.0003739907298528,0.0082477410686615,-0.003222434474362,-0.0027924500011242,0.0,5
0.0035940128871403,-0.0027742505618894,-0.0040834319745062,0.0023104980867829,0.0034159385228325,2
0.0021857724598455,0.0048223363937493,0.0084405680793588,0.0125055926567252,-0.0262640091293669,2
0.000746100086465,0.0015816114071326,-0.0012040368260588,0.0008544662567865,-0.00085795167602,3
-0.0013887695379144,0.0016119262870767,-0.0020742894117568,0.0,0.0019217934629741,4
4.440892098500626e-17,2.220446049250313e-17,2.220446049250313e-17,0.0,0.0,5
2.220446049250313e-17,4.440892098500626e-17,0.0,0.0,0.0,5
4.440892098500626e-17,2.220446049250313e-17,0.0,0.0,0.0,5
6.661338147750939e-17,0.0,0.0,0.0,0.0,5
4.440892098500626e-17,2.220446049250313e-17,0.0,0.0,0.0,5
4.440892098500626e-17,0.0,0.0,0.0,0.0,5
4.440892098500626e-17,0.0,0.0,0.0,0.0,5
2.220446049250313e-17,2.220446049250313e-17,0.0,0.0,0.0,5
2.220446049250313e-17,2.220446049250313e-17,0.0,0.0,0.0,5
2.220446049250313e-17,0.0,0.0,0.0,2.220446049250313e-17,5
0.0,4.440892098500626e-17,0.0,0.0,0.0,5
0.0,4.440892098500626e-17,0.0,0.0,0.0,5
2.220446049250313e-17,2.220446049250313e-17,0.0,0.0,0.0,5
2.220446049250313e-17,0.0,0.0,0.0,0.0,5
2.220446049250313e-17,0.0,0.0,0.0,0.0,5
0.0,0.0,-0.0003902231106523,0.0,0.0,5
-0.0011942249488619,0.0004905896492677,-0.0004919483464128,0.0003379106256777,0.0,4
-0.0011866890049594,-0.0058838339634043,0.0014880906124558,0.0,-0.0003077248078333,4
0.0013870518427091,2.220446049250313e-17,-0.0083145296290712,0.0003047846871001,0.0,3
0.0011809707262899,-0.0026247563482856,-0.0009367649036013,-0.0049685367695129,0.0,4
