feature,mean_importance
feature_8,-0.0058378613255822605
feature_19,-0.0037416822256557403
random_feature,-0.0033843362843073654
feature_11,-0.0031824105032766557
feature_6,-0.0011160656209348251
feature_25,0.0
feature_24,0.0
feature_23,0.0
feature_22,0.0
feature_21,0.0
feature_20,0.0
feature_18,0.0
feature_16,0.0
feature_15,0.0
feature_1,0.0
feature_13,0.0
feature_12,0.0
feature_10,0.0
feature_9,0.0
feature_4,0.0
feature_3,0.0
feature_2,0.0
feature_26,0.0
feature_5,2.2840520276545816e-05
feature_7,0.0014402748701253243
feature_17,0.0029433540993554887
feature_14,0.005311548582436454
