feature,mean_importance
feature_1,-0.00643980532361943
feature_7,-0.004902224389454068
feature_3,-0.0047254065610564
feature_6,-0.0031541547250318437
feature_20,-0.0019925351309947993
random_feature,-0.0014444876847979238
feature_2,-0.00111107043875438
feature_9,-7.700988016463572e-05
feature_4,0.0
feature_22,0.0
feature_26,0.0
feature_15,0.0
feature_10,0.0
feature_24,0.0
feature_18,0.0003949606968077335
feature_21,0.00045577804434460134
feature_23,0.0005155621278317257
feature_25,0.000562747485765791
feature_11,0.000884772857262095
feature_16,0.003110514425323907
feature_13,0.0031527612984586285
feature_12,0.0044897518843899364
feature_19,0.006093099748666675
feature_5,0.007552005426681041
feature_17,0.0091009044320584
feature_8,0.00942758172506548
feature_14,0.010120806834725405
