feature,mean_importance
feature_12,-0.01501427843091474
feature_3,-0.008943932113542852
feature_1,-0.003499670118891118
feature_23,-0.002607154089627706
feature_6,-0.0023429744771055637
feature_13,-0.002316899905053904
feature_4,-0.0022063479880755077
feature_24,-0.0005216414265819091
feature_15,-0.0003005458873456268
feature_22,0.0
feature_26,0.0
feature_8,0.00011252011984397292
feature_21,0.0005669453189150797
feature_16,0.0005955487955329186
feature_19,0.0008650807823001206
random_feature,0.0011846011192184537
feature_10,0.0019252289942345957
feature_2,0.003354365269005943
feature_7,0.00420059153215484
feature_18,0.00784642558030042
feature_25,0.008780168382364196
feature_20,0.009386483121920076
feature_9,0.009970486390008571
feature_5,0.011231601364751476
feature_11,0.019372373329313207
feature_14,0.024201070530143264
feature_17,0.02824232531096127
