feature,mean_importance
feature_9,-0.009529882351300612
feature_5,-0.006238701004283675
feature_2,-0.005396398300256821
feature_1,-0.0041341575608103255
feature_3,-0.003762789772262387
feature_21,-0.003631161378682135
feature_7,-0.0028386604986113005
random_feature,-0.002596260271163997
feature_25,-0.0025567134386554223
feature_20,-0.001850177402258013
feature_16,-0.0013913280580710064
feature_17,-5.6198178778466e-05
feature_10,0.0
feature_26,0.0
feature_15,0.0
feature_22,0.0
feature_19,0.0
feature_4,0.0
feature_24,0.00040090278697093586
feature_6,0.0004997817643602964
feature_12,0.0010216506249513646
feature_18,0.002306362503555959
feature_11,0.002636612454674081
feature_13,0.0028980264825781755
feature_23,0.0035752813811483096
feature_8,0.00833393859738123
feature_14,0.03858455776736638
