name,model_type,metric_type,metric_value,train_time
1_DecisionTree,Decision Tree,logloss,1.2430951420143934,0.96
2_DecisionTree,Decision Tree,logloss,1.8370962259374726,0.82
3_DecisionTree,Decision Tree,logloss,1.837096225937368,0.78
4_Linear,Linear,logloss,0.6930972412892538,3.4
5_Default_LightGBM,LightGBM,logloss,0.6743627933461999,1.21
6_Default_Xgboost,Xgboost,logloss,0.6776805560697209,1.89
7_Default_CatBoost,CatBoost,logloss,0.6677252733460343,2.76
8_Default_NeuralNetwork,Neural Network,logloss,0.7523202047924575,1.05
9_Default_RandomForest,Random Forest,logloss,0.6702335110324779,4.67
10_Default_ExtraTrees,Extra Trees,logloss,0.6666818681403364,2.9
11_Default_NearestNeighbors,Nearest Neighbors,logloss,1.1555111469540504,0.92
21_LightGBM,LightGBM,logloss,0.6720396785600298,0.99
12_Xgboost,Xgboost,logloss,0.6710526193813844,1.31
30_CatBoost,CatBoost,logloss,0.6605045949681055,4.21
39_RandomForest,Random Forest,logloss,0.6672535857855649,3.57
48_ExtraTrees,Extra Trees,logloss,0.6655686429382937,3.67
57_NeuralNetwork,Neural Network,logloss,0.7228758333584441,0.98
66_NearestNeighbors,Nearest Neighbors,logloss,0.7559456028812279,0.98
22_LightGBM,LightGBM,logloss,0.6630593210076207,0.99
13_Xgboost,Xgboost,logloss,0.6769164678183469,1.53
31_CatBoost,CatBoost,logloss,0.6565626733218638,4.94
40_RandomForest,Random Forest,logloss,0.6779994609269685,3.97
49_ExtraTrees,Extra Trees,logloss,0.6707734875994832,5.3
58_NeuralNetwork,Neural Network,logloss,0.7319491343245202,1.51
67_NearestNeighbors,Nearest Neighbors,logloss,0.7601405768334665,0.97
23_LightGBM,LightGBM,logloss,0.6641545524440542,1.08
14_Xgboost,Xgboost,logloss,0.6808215493505652,1.25
32_CatBoost,CatBoost,logloss,0.6728029392032905,3.06
41_RandomForest,Random Forest,logloss,0.6641804582839854,3.99
50_ExtraTrees,Extra Trees,logloss,0.6650895212777908,4.71
59_NeuralNetwork,Neural Network,logloss,1.1065179098157092,1.79
68_NearestNeighbors,Nearest Neighbors,logloss,0.7601405768334665,0.97
24_LightGBM,LightGBM,logloss,0.8271968138168113,1.17
15_Xgboost,Xgboost,logloss,0.6930429361083291,9.39
33_CatBoost,CatBoost,logloss,0.6680295833597364,4.47
42_RandomForest,Random Forest,logloss,0.6704144464194055,5.6
51_ExtraTrees,Extra Trees,logloss,0.677424928189386,4.59
60_NeuralNetwork,Neural Network,logloss,0.8028724593616826,1.09
